name,category,market_name,product_url,product_id,price,manufacturer,amount,measure
Свинина шея на кости на шкуре п/ф охлажденный СП кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy/miaso-20/svinina-sheia-na-kosti-na-shkure-p-f-okhlazhdennyi-sp-kg-,47871,357.4,"ООО ""О'КЕЙ""",1.0,кг
Свинина окорок на кости на шкуре п/ф охлажденный СП кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy/miaso-20/svinina-okorok-na-kosti-na-shkure-p-f-okhlazhdennyi-sp-,47875,290.4,"ООО ""О'КЕЙ""",1.0,кг
Свинина грудинка на кости на шкуре п/ф охлажденный СП кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy/miaso-20/svinina-grudinka-na-kosti-na-shkure-p-f-okhlazhdennyi-,47876,231.5,"ООО ""О'КЕЙ""",1.0,кг
Свинина лопатка на кости на шкуре п/ф охлажденный СП кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy/miaso-20/svinina-lopatka-na-kosti-na-shkure-p-f-okhlazhdennyi-,47877,267.9,"ООО ""О'КЕЙ""",1.0,кг
Ребрышки свиные деликатесные охлажденные Мираторг кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy/miaso-20/rebryshki-svinye-delikatesnye-okhlazhdennye-miratorg-,50891,558.9,"Мираторг, Россия",1.0,кг
Говядина вырезка п/ф охлажденный СП кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy/miaso-20/goviadina-vyrezka-p-f-okhlazhdennyi-sp-kg,52875,1318.0,"ООО ""О'КЕЙ""",1.0,кг
Ребрышки свиные с корейки охлажденные Самсон кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy/miaso-20/rebryshki-svinye-s-koreiki-okhlazhdennye-samson-kg,57513,570.9,"ООО ""Всеволожский МК""",1.0,кг
Свинина окорок б/к охлажденная в/у Черкизово кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy/miaso-20/svinina-okorok-b-k-okhlazhdennaia-v-u-cherkizovo-kg,265240,424.4,"Черкизово, Россия",1.0,кг
Свинина вырезка охлажденная Самсон кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy/miaso-20/svinina-vyrezka-okhlazhdennaia-samson-kg,385855,625.9,"ООО ""Всеволожский МК""",1.0,кг
Говядина мраморная мякоть бедра б/к охлажденная Black Angus Мираторг кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy/miaso-20/goviadina-mramornaia-miakot-bedra-b-k-okhlazhdennaia-,656103,1131.0,"ООО ""Брянская мясная компания""",1.0,кг
Ребрышки свиные охлажденные Черкизово кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy/miaso-20/rebryshki-svinye-okhlazhdennye-cherkizovo-kg,746249,469.4,"ОАО ""Черкизовский Мясоперерабатывающий комбинат""",1.0,кг
